Rank,Team Name,Challenges Completed,Total Score,Average Points
1,Red Cat,6,91.249,152.08
2,Brooties,6,88.654 ,147.76
3,Data Saiyans,6,76.825 ,128.04
4,SOISSONT'DIS,6,62.822 ,104.70
5,AM1N3S,6,59.817   ,99.70
6,Awsoms,6,54.581   ,90.97
7,Anonymous,6,54.377    ,90.63
8,HASHIRAS,6,50.988 ,84.98
9,Sh5mo,6,45.828    ,76.38
10,mohajimoun,5,42.575  ,85.15
11,Sqrt(9),6,29.444 ,49.07
12,0-dai,3,28.966   ,96.55
13,DeepSecure,6,27.189  ,45.31
14,El Madanis,4,24.862  ,62.16
15,5srna,4,18.896   ,47.24
16,ZERO-DAY BOUNTY,4,17.883 ,44.71
17,0-Dai,3,15.233   ,50.78
18,mohajimon,1,8.308    ,83.08


